txHash,id,image,class,chain,name,birthDate,bodyShape,sireId,sireClass,matronId,matronClass,stage,title,breedCount,level,hp,speed,skill,morale,from,to,timestamp,withPrice
0xebbe3f48cf517a5759f5224af775ae2a360afa17d50c5ec331dea0797fc340f9,5963196,https://storage.googleapis.com/assets.axieinfinity.com/axies/5963196/axie/axie-full-transparent.png,Reptile,ronin,Terminator+Nimo Meta PVP,1631408683,Normal,11592,Reptile,11428,Reptile,4,,0,1,53,42,31,38,0x6750911ebdc9e7d36b14838883ffb4e700e53659,0x8abb829ec596fdec839c1e2e29f29c366d4a051a,1631910188,0.09376389
0x6a2215638d86c10b3b1e90ae2a45e5f5632f8aecad437823355b0115e3c6262b,5477115,https://storage.googleapis.com/assets.axieinfinity.com/axies/5477115/axie/axie-full-transparent.png,Aquatic,ronin,Axie #5477115,1630659395,Curly,52289,Aquatic,39895,Aquatic,4,,4,1,45,57,35,27,0x4940f089b4ad0bf841e661a97da726e5a0cc457f,0xf77569e1aeeefd58dedc46ce9b4f370ef7e93f65,1631201917,0.07509607
0x4565824ba2dff3c7fc716ec14c2f1bfc5deb36108702611d96545b2555c4a8ab,3314456,https://storage.googleapis.com/assets.axieinfinity.com/axies/3314456/axie/axie-full-transparent.png,Beast,ronin,AXIE META +2000🏆,1627962900,Fuzzy,48698,Aquatic,44825,Beast,4,,1,1,37,47,31,49,0x1048e94965351a4c49ae437df474526c447ab5db,0x94eb0fd6d3d563a8b41980e594511aa0b96bfc0e,1631170014,0.07
0x3f1f46f82681679ff893defc9903181934d917427152db1353fb9b70671a6270,3709060,https://storage.googleapis.com/assets.axieinfinity.com/axies/3709060/axie/axie-full-transparent.png,Plant,ronin,,1628372552,Normal,4557,Plant,41198,Plant,4,,0,1,55,31,31,47,0x29bd067a4b4633c1b7e56cd0dc29a92c66f039d0,0xa84044f678b64e954b1429d0b2e2839fb7c52f8b,1628939172,0.107807405
0xf00ee8a2deda5a959d246e7df3c1d20e6dfe0332c2f8f98baa4132369fe5c480,4753477,https://storage.googleapis.com/assets.axieinfinity.com/axies/4753477/axie/axie-full-transparent.png,Aquatic,ronin,Axie #4753477,1629567710,Normal,33463,Aquatic,39176,Aquatic,4,,0,1,47,54,35,28,0x61994b9610239bc9ff95d5036109c815b064fda0,0x20df02de7c3505a811ee56536adfb9d637dcb9e2,1631561371,0.063
0xf4ab0d46710bd42ca38c28a0402efd298c1b77e90754733a59d9faf451aba155,4753477,https://storage.googleapis.com/assets.axieinfinity.com/axies/4753477/axie/axie-full-transparent.png,Aquatic,ronin,Axie #4753477,1629567710,Normal,33463,Aquatic,39176,Aquatic,4,,0,1,47,54,35,28,0x47a0ab77ffe92a9957f08eebb03c9d0d4c7dbfa5,0x61994b9610239bc9ff95d5036109c815b064fda0,1630519742,0.058514833
0xd29fcf3882f2ea404034f00197652a3106a1c1b3e25458ad237bdf95042a1957,4217610,https://storage.googleapis.com/assets.axieinfinity.com/axies/4217610/axie/axie-full-transparent.png,Beast,ronin,Axie #4217610,1628936913,Normal,65493,Beast,63322,Beast,4,,0,1,37,40,31,56,0xb3e24323bd9603928794107ea6c1e574f7d19803,0x942976dd2cbc2120884d590ed96631eedad8a07d,1631174238,0.07
0xcad8f41101c7779c1a551fa6fbf4e26a189b4f11ddc0e760a4137a2649c41fbd,6005555,https://storage.googleapis.com/assets.axieinfinity.com/axies/6005555/axie/axie-full-transparent.png,Aquatic,ronin,Axie #6005555,1631469763,Normal,59580,Aquatic,62866,Aquatic,4,,3,1,44,55,35,30,0x7f2efddab56a89db47ffeb1417c20911f9e0946a,0x8c9991178b81ddf03674669648e6328d06818484,1631906585,0.080000006
0x0466a5d4889bb027c6300b705c6f79a06bc08d52ce808905215301f59e5be7a9,5018347,https://storage.googleapis.com/assets.axieinfinity.com/axies/5018347/axie/axie-full-transparent.png,Beast,ronin,Axie #5018347,1629974279,Normal,19735,Beast,22742,Beast,4,,3,1,31,41,31,61,0x3bcc683978b0780e574395be37f968f4ffb4998d,0x5f4c50df69d8c3a839ab1f221608bd9f99adb309,1631836649,0.125
0x4da69305b25bc14b681e2fc4f0ee28c18e652e9dfa4acc542663b6da1cceb749,5018347,https://storage.googleapis.com/assets.axieinfinity.com/axies/5018347/axie/axie-full-transparent.png,Beast,ronin,Axie #5018347,1629974279,Normal,19735,Beast,22742,Beast,4,,3,1,31,41,31,61,0x8a2ad762a66f72ce9828a53a8260643ba4d2de54,0xf8276c6423bae8b6a1ed625cc8abc53a7859c5af,1631764361,0.139
0x04aca840cf3fb818dcb7fc66303fbdd2776a5366244cf1256ee6f1c8bc9c64c8,5018347,https://storage.googleapis.com/assets.axieinfinity.com/axies/5018347/axie/axie-full-transparent.png,Beast,ronin,Axie #5018347,1629974279,Normal,19735,Beast,22742,Beast,4,,3,1,31,41,31,61,0xd6ab5089304db7d976fcb55fa0c818855aae70e4,0x4f857fc003619d2c1af597baba0f7c7ca0e990e4,1630499409,0.1693747
0x96ee86379fedbe8570a08650bbc90c3a0542b26ed972e4ca06d171b7e9f6b1a4,3528025,https://storage.googleapis.com/assets.axieinfinity.com/axies/3528025/axie/axie-full-transparent.png,Beast,ronin,| TB | Iro,1628196629,Normal,2817,Beast,15866,Beast,4,,0,1,32,42,31,59,0x9eae8a9693f285f9624f796a31412f66b615ec3f,0x9d70ab67654810c761ee957157b384e1ea73aeaa,1629391192,0.09
0x439ef672ec150f53be6b404e9635aaa2fd37fffd0f0f9e9fb76b485b00dcf86e,859542,https://storage.googleapis.com/assets.axieinfinity.com/axies/859542/axie/axie-full-transparent.png,Bug,ronin,Super Stun+Discard+Damage Bug,1623979677,Normal,14008,Bug,14305,Bug,4,,3,1,41,34,35,54,0x1ad95cba1cd946c127a4a4cb5e187b7595e13711,0x197f89b0cd2b2b9d053a724dbc4bba1c1f7f8532,1629185799,0.080000006
0x81b70e3defbfae91bca0c759db2e187ef7070b6459fd9926a60857d6ccd1ec55,859542,https://storage.googleapis.com/assets.axieinfinity.com/axies/859542/axie/axie-full-transparent.png,Bug,ronin,Super Stun+Discard+Damage Bug,1623979677,Normal,14008,Bug,14305,Bug,4,,3,1,41,34,35,54,0xbf39a73aa2698ae87ad3e050e55570198e9c0133,0x1ad95cba1cd946c127a4a4cb5e187b7595e13711,1624580306,0.065193936
0xc9471443d599d855938d7b403386dbd33b331eb30bb3e6d50acf847128100252,5327750,https://storage.googleapis.com/assets.axieinfinity.com/axies/5327750/axie/axie-full-transparent.png,Aquatic,ronin,Axie #5327750,1630415258,WetDog,33210,Aquatic,50699,Aquatic,4,,0,1,45,57,35,27,0x2871142f8556617e70fae93749150c949accefde,0x057973991995cdc87d295a47c2347ab8471e1713,1631558875,0.06973889
0xab7a238d440645f316c68b821e3a414ffc6c136d15013f1c1d56528f52231827,5044824,https://storage.googleapis.com/assets.axieinfinity.com/axies/5044824/axie/axie-full-transparent.png,Beast,ronin,1 hit 4 turns last stand,1629998597,Normal,12254,Beast,11961,Beast,4,,3,1,31,41,31,61,0x87c64667d92090ec1153176a0634d8d2956bf1f4,0x6ca42cfaeddee7dbbb44b91c9f471ef8f6ea6c77,1630687670,0.104794756
0xa8e3e3506c398fa0b2202b7bfa85ee6f7d1c40a0c92a710a8103c3851345c126,5179774,https://storage.googleapis.com/assets.axieinfinity.com/axies/5179774/axie/axie-full-transparent.png,Dusk,ronin,49hp😎45spd 5only,1630161600,Normal,6755,Dusk,7206,Reptile,4,,0,1,49,45,27,43,0x78c912c5b1bd6e58d9ab7da16ddf7b6eecf591a3,0x3609b2dbd8c3956f24732ef1d27be56b56b98782,1631745455,0.06498945
